[2023-10-12 15:27:19] INFO: Starting local search for instance Ann_Arbor...
[2023-10-12 15:27:19] INFO: Initializing inputs to the model...
[2023-10-12 15:27:19] INFO: Reading trip data from file...
[2023-10-12 15:27:19] INFO: Trip data read successfully
[2023-10-12 15:27:19] INFO: Number of trips: 858
[2023-10-12 15:27:19] INFO: Reading terminal data from file...
[2023-10-12 15:27:19] INFO: Terminal data read successfully
[2023-10-12 15:27:19] INFO: Number of terminals: 29
[2023-10-12 15:27:19] INFO: Augmenting trips with depot stops...
[2023-10-12 15:27:19] INFO: Number of trips after augmentation: 887
[2023-10-12 15:27:19] INFO: Reading trip pair data from file...
[2023-10-12 15:27:20] INFO: Trip pair data read successfully
[2023-10-12 15:27:20] INFO: Initializing vehicle rotations from the concurrent scheduler solution...
[2023-10-12 15:27:20] INFO: Vehicle rotations read successfully
[2023-10-12 15:27:20] INFO: Number of vehicles: 57
[2023-10-12 15:27:20] DEBUG: Printing trip data (Trip ID, Start terminal, End terminal, Start time, End time, Distance)
[2023-10-12 15:27:20] DEBUG: 1 6 29 798 825 15.026000
[2023-10-12 15:27:20] DEBUG: 2 13 20 738 765 12.401000
[2023-10-12 15:27:20] DEBUG: 3 23 1 969 990 9.052000
[2023-10-12 15:27:20] DEBUG: 4 29 15 825 855 15.543000
[2023-10-12 15:27:20] DEBUG: 5 22 15 735 748 9.549000
[2023-10-12 15:27:20] DEBUG: 6 13 15 918 960 15.537000
[2023-10-12 15:27:20] DEBUG: 7 12 28 1068 1098 12.364000
[2023-10-12 15:27:20] DEBUG: 8 11 15 1008 1062 20.205000
[2023-10-12 15:27:20] DEBUG: 9 9 25 1038 1052 6.687000
[2023-10-12 15:27:20] DEBUG: 10 7 16 768 787 9.107000
[2023-10-12 15:27:20] DEBUG: 11 7 16 663 682 7.593000
[2023-10-12 15:27:20] DEBUG: 12 13 15 708 750 15.537000
[2023-10-12 15:27:20] DEBUG: 13 13 15 558 600 15.537000
[2023-10-12 15:27:20] DEBUG: 14 28 1 798 825 9.688000
[2023-10-12 15:27:20] DEBUG: 15 2 15 633 660 10.230000
[2023-10-12 15:27:20] DEBUG: 16 29 15 1065 1095 15.543000
[2023-10-12 15:27:20] DEBUG: 17 12 28 828 858 12.364000
[2023-10-12 15:27:20] DEBUG: 18 27 1 543 585 15.699000
[2023-10-12 15:27:20] DEBUG: 19 10 14 1128 1153 9.733000
[2023-10-12 15:27:20] DEBUG: 20 7 16 783 802 7.593000
[2023-10-12 15:27:20] DEBUG: 21 17 15 923 945 9.805000
[2023-10-12 15:27:20] DEBUG: 22 10 14 1068 1093 9.733000
[2023-10-12 15:27:20] DEBUG: 23 5 1 933 975 17.266000
[2023-10-12 15:27:20] DEBUG: 24 22 15 915 928 9.549000
[2023-10-12 15:27:20] DEBUG: 25 9 1 738 765 10.838000
[2023-10-12 15:27:20] DEBUG: 26 3 15 558 600 20.916000
[2023-10-12 15:27:20] DEBUG: 27 12 26 648 662 4.645000
[2023-10-12 15:27:20] DEBUG: 28 6 29 738 765 15.026000
[2023-10-12 15:27:20] DEBUG: 29 6 17 903 923 10.104000
[2023-10-12 15:27:20] DEBUG: 30 9 25 858 872 6.687000
[2023-10-12 15:27:20] DEBUG: 31 11 23 528 549 11.212000
[2023-10-12 15:27:20] DEBUG: 32 26 1 782 795 6.474000
[2023-10-12 15:27:20] DEBUG: 33 27 1 543 585 15.699000
[2023-10-12 15:27:20] DEBUG: 34 18 1 705 735 12.548000
[2023-10-12 15:27:20] DEBUG: 35 5 1 948 1003 20.256000
[2023-10-12 15:27:20] DEBUG: 36 8 21 528 551 10.428000
[2023-10-12 15:27:20] DEBUG: 37 7 16 528 547 9.107000
[2023-10-12 15:27:20] DEBUG: 38 23 1 849 870 9.052000
[2023-10-12 15:27:20] DEBUG: 39 17 15 923 945 9.805000
[2023-10-12 15:27:20] DEBUG: 40 26 1 662 675 6.474000
[2023-10-12 15:27:20] DEBUG: 41 10 14 1008 1033 9.733000
[2023-10-12 15:27:20] DEBUG: 42 27 1 663 705 15.699000
[2023-10-12 15:27:20] DEBUG: 43 16 1 907 930 14.137000
[2023-10-12 15:27:20] DEBUG: 44 13 18 1098 1125 13.540000
[2023-10-12 15:27:20] DEBUG: 45 12 1 993 1020 11.549000
[2023-10-12 15:27:20] DEBUG: 46 9 25 678 692 6.687000
[2023-10-12 15:27:20] DEBUG: 47 13 18 858 885 13.540000
[2023-10-12 15:27:20] DEBUG: 48 22 15 855 868 9.549000
[2023-10-12 15:27:20] DEBUG: 49 17 15 623 645 9.805000
[2023-10-12 15:27:20] DEBUG: 50 10 1 693 705 3.506000
[2023-10-12 15:27:20] DEBUG: 51 18 1 885 915 12.548000
[2023-10-12 15:27:20] DEBUG: 52 8 15 588 630 17.327000
[2023-10-12 15:27:20] DEBUG: 53 13 18 1038 1065 13.540000
[2023-10-12 15:27:20] DEBUG: 54 18 1 765 795 12.548000
[2023-10-12 15:27:20] DEBUG: 55 8 15 768 810 17.327000
[2023-10-12 15:27:20] DEBUG: 56 7 16 843 862 7.593000
[2023-10-12 15:27:20] DEBUG: 57 4 24 903 915 10.362000
[2023-10-12 15:27:20] DEBUG: 58 18 1 1005 1035 12.548000
[2023-10-12 15:27:20] DEBUG: 59 27 1 1083 1125 15.699000
[2023-10-12 15:27:20] DEBUG: 60 3 15 768 795 12.400000
[2023-10-12 15:27:20] DEBUG: 61 13 18 1098 1125 13.540000
[2023-10-12 15:27:20] DEBUG: 62 29 15 945 975 15.543000
[2023-10-12 15:27:20] DEBUG: 63 14 1 613 645 13.688000
[2023-10-12 15:27:20] DEBUG: 64 12 28 948 978 12.364000
[2023-10-12 15:27:20] DEBUG: 65 4 1 918 975 33.936000
[2023-10-12 15:27:20] DEBUG: 66 29 15 585 615 15.543000
[2023-10-12 15:27:20] DEBUG: 67 13 18 858 885 13.540000
[2023-10-12 15:27:20] DEBUG: 68 28 1 558 585 9.688000
[2023-10-12 15:27:20] DEBUG: 69 13 15 948 990 15.537000
[2023-10-12 15:27:20] DEBUG: 70 3 15 1128 1155 12.400000
