[2023-11-09 19:14:28] INFO: Starting local search for instance SCMTD...
[2023-11-09 19:14:28] INFO: Initializing inputs to the model...
[2023-11-09 19:14:28] INFO: Reading trip data from file...
[2023-11-09 19:14:28] INFO: Trip data read successfully
[2023-11-09 19:14:28] INFO: Number of trips: 1830
[2023-11-09 19:14:28] INFO: First time step: 315
[2023-11-09 19:14:28] INFO: Last time step: 1498
[2023-11-09 19:14:28] INFO: Reading terminal data from file...
[2023-11-09 19:14:28] INFO: Terminal data read successfully
[2023-11-09 19:14:28] INFO: Number of terminals: 26
[2023-11-09 19:14:28] INFO: Augmenting trips with depot stops...
[2023-11-09 19:14:28] INFO: Number of trips after augmentation: 1856
[2023-11-09 19:14:28] INFO: Reading trip pair data from file...
[2023-11-09 19:14:29] INFO: Trip pair data read successfully
[2023-11-09 19:14:29] INFO: Initializing vehicle rotations from the concurrent scheduler solution...
[2023-11-09 19:14:29] INFO: Vehicle rotations read successfully
[2023-11-09 19:14:29] INFO: Number of vehicles: 187
[2023-11-09 19:14:29] INFO: Creating energy price intervals...
[2023-11-09 19:14:29] INFO: Inputs to the model initialized successfully
[2023-11-09 19:14:29] INFO: Number of successful openings: 0
[2023-11-09 19:14:29] INFO: Number of successful closures: 0
[2023-11-09 19:14:29] INFO: Finishing local search...
[2023-11-09 19:14:29] INFO: Utilization statistics: (Terminal ID: Is charge station, Current idle time, Potential idle time)
[2023-11-09 19:14:29] INFO: Terminal 1: 1 2129 0
[2023-11-09 19:14:29] INFO: Terminal 2: 0 0 244
[2023-11-09 19:14:29] INFO: Terminal 3: 1 1682 0
[2023-11-09 19:14:29] INFO: Terminal 4: 0 0 0
[2023-11-09 19:14:29] INFO: Terminal 5: 1 47 0
[2023-11-09 19:14:29] INFO: Terminal 6: 0 0 0
[2023-11-09 19:14:29] INFO: Terminal 7: 1 25 0
[2023-11-09 19:14:29] INFO: Terminal 8: 1 1001 0
[2023-11-09 19:14:29] INFO: Terminal 9: 0 0 0
[2023-11-09 19:14:29] INFO: Terminal 10: 0 0 0
[2023-11-09 19:14:29] INFO: Terminal 11: 0 0 0
[2023-11-09 19:14:29] INFO: Terminal 12: 1 559 0
[2023-11-09 19:14:29] INFO: Terminal 13: 0 0 0
[2023-11-09 19:14:29] INFO: Terminal 14: 0 0 24
[2023-11-09 19:14:29] INFO: Terminal 15: 0 0 0
[2023-11-09 19:14:29] INFO: Terminal 16: 1 14770 0
[2023-11-09 19:14:29] INFO: Terminal 17: 1 1234 0
[2023-11-09 19:14:29] INFO: Terminal 18: 1 1843 0
[2023-11-09 19:14:29] INFO: Terminal 19: 1 98 0
[2023-11-09 19:14:29] INFO: Terminal 20: 1 608 0
[2023-11-09 19:14:29] INFO: Terminal 21: 0 0 3055
[2023-11-09 19:14:29] INFO: Terminal 22: 1 491 0
[2023-11-09 19:14:29] INFO: Terminal 23: 1 321 0
[2023-11-09 19:14:29] INFO: Terminal 24: 1 9061 0
[2023-11-09 19:14:29] INFO: Terminal 25: 1 0 0
[2023-11-09 19:14:29] INFO: Terminal 26: 1 0 0
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 1 25 0.000000 1834 1726 1696 1369 1429 1692 1703 1766 1655 1691 1781 1725 1681 1686 1763 1644 1642 1786 1683 1700 1324 1474 512 1409 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 2 24 0.000000 1834 1679 1680 1708 1746 1481 544 467 1314 1808 1768 1639 1791 1673 1727 1797 1664 1723 1759 1345 1247 1389 358 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 3 26 0.000000 1834 1697 1744 1753 1702 1507 474 363 1261 1824 1780 1782 1668 1722 1774 1682 1729 1798 1718 1740 1704 1240 1326 1419 302 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 4 21 0.000000 1834 1453 1282 1761 1579 828 1211 1640 1638 1818 1785 1790 1720 1667 1793 1652 1355 76 1525 1503 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 5 18 0.000000 1834 1412 1293 1795 1450 829 1206 1511 1147 1721 1764 1656 1675 1737 1690 1372 298 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 6 16 0.000000 1834 1583 1329 1775 1497 1233 1784 1439 292 1588 1647 1464 1349 1348 709 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 7 18 0.000000 1835 257 175 297 1150 1742 1711 1773 1485 426 1559 1550 1317 1490 73 1039 1471 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 8 20 0.000000 1835 167 186 353 1205 1743 1661 1755 1767 1752 1751 1769 1735 1654 1422 72 947 432 373 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 9 19 0.000000 1835 246 216 401 1173 1772 1760 1733 1796 1687 1779 1494 441 1164 1362 458 407 1521 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 10 19 0.000000 1835 869 872 846 853 852 1026 903 905 913 911 17 1307 1709 1455 1020 398 1415 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 11 17 0.000000 1835 870 874 845 561 414 1221 1710 1693 1699 1354 1271 1617 1397 1498 400 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 12 18 0.000000 1834 1341 928 1099 854 864 59 527 1004 338 1220 1436 1042 1403 1523 1418 280 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 13 18 0.000000 1834 1272 944 590 698 827 1202 1467 1421 1813 1649 1530 1320 1596 448 948 1534 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 14 17 0.000000 1834 1241 1441 1298 402 993 339 937 277 1183 1648 1622 1745 1533 1492 1387 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 15 19 0.000000 1835 866 877 815 857 848 1019 918 972 986 306 1067 1478 1670 1636 1330 1487 1370 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 16 17 0.000000 1835 940 354 523 763 553 65 1032 94 1213 1712 1653 1254 706 683 1457 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 17 17 0.000000 1835 938 330 531 783 560 54 1001 70 1197 1426 980 1119 1557 1350 276 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 18 18 0.000000 1835 959 368 566 796 532 1002 1086 915 25 1087 3 541 378 942 468 369 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 19 21 0.000000 1834 1558 1678 1698 1580 668 681 1257 1814 1789 1787 1749 1671 1689 1628 1601 1430 66 493 1522 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 20 19 0.000000 1834 1536 422 510 289 1291 1826 1748 1758 1732 1750 1216 1280 1607 1572 99 973 643 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 21 17 0.000000 1834 1716 1669 1563 578 577 1295 1810 1623 1829 1806 1812 1587 975 1440 1593 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 22 16 0.000000 1834 1547 511 466 809 1510 1811 1801 1548 1192 1762 1676 1065 997 1376 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 23 16 0.000000 1834 1508 463 500 1524 1788 1199 1591 1443 1185 1777 1739 1053 1552 288 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 24 16 0.000000 1834 1198 230 170 1451 1828 1803 1799 1827 1815 1630 1575 1131 878 740 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 25 16 0.000000 1834 1158 168 160 1407 1674 1685 1611 1830 1816 1337 1228 1520 415 1402 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 26 15 0.000000 1834 1166 619 632 552 1225 1821 1406 1574 1184 1248 1544 654 575 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 27 18 0.000000 1835 593 682 568 450 1288 1604 1383 822 565 967 1079 1532 1484 320 344 362 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 28 15 0.000000 1835 724 722 558 513 1515 1149 1008 912 990 1417 1250 882 497 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 29 16 0.000000 1835 1061 395 533 442 340 11 439 1049 37 1466 1463 1517 384 642 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 30 17 0.000000 1835 747 637 434 343 87 570 540 1157 1433 1081 64 946 515 627 645 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 31 17 0.000000 1835 1107 305 534 429 300 21 411 1234 1374 1445 1368 1599 1479 364 303 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 32 17 0.000000 1835 1136 876 871 821 485 382 1175 1391 435 1115 894 1245 957 1296 1323 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 33 16 0.000000 1835 109 254 6 526 556 82 1030 900 898 1264 1058 446 56 576 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 34 15 0.000000 1835 269 115 12 1365 1174 1195 1477 516 1095 953 490 1016 391 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 35 13 0.000000 1835 239 252 45 1480 1154 1141 1565 430 1473 389 748 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 36 14 0.000000 1833 727 1309 1770 1161 749 784 381 342 335 840 641 686 1833 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 37 16 0.000000 1833 687 1353 1367 777 754 1057 313 765 810 1129 1045 47 690 692 1833 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 38 15 0.000000 1833 628 1335 1398 805 756 104 473 770 813 84 285 626 589 1833 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 39 17 0.000000 1834 1413 1212 1380 824 427 1424 1800 1608 1823 1713 1792 1491 974 312 409 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 40 15 0.000000 1834 1410 1145 1460 1106 920 1390 1609 1627 1505 1268 945 412 581 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 41 15 0.000000 1834 1434 1231 1541 830 484 1537 1602 1168 1297 1204 1076 730 707 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 42 16 0.000000 1834 1437 984 1052 782 800 528 1005 332 1196 1666 1461 1569 1325 279 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 43 15 0.000000 1834 1246 212 123 1069 914 1238 1495 1327 1170 388 1285 1423 503 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 44 14 0.000000 1834 1253 238 223 1468 1577 492 1190 1677 1340 981 884 489 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 45 14 0.000000 1834 1634 1366 475 361 52 1236 1632 1553 1438 1281 745 635 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 46 14 0.000000 1835 954 1134 1181 1578 346 1097 483 1527 1363 1377 1089 105 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 47 14 0.000000 1834 1305 7 771 792 1105 1486 1414 963 299 1077 454 172 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 48 14 0.000000 1834 1619 1447 482 310 960 1070 1082 1356 1186 433 1427 27 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 49 14 0.000000 1834 1605 1595 1401 1794 1385 1140 1633 1618 1189 481 1062 371 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 50 14 0.000000 1835 1396 1584 396 18 1514 1392 1035 1218 491 1127 703 640 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 51 17 0.000000 1835 1581 1756 1672 1717 1728 1804 1658 1707 1301 1 557 102 1373 1319 988 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 52 15 0.000000 1835 278 536 1265 1705 1665 1802 1351 1167 1688 1612 1645 992 41 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 53 15 0.000000 1835 873 875 817 101 437 1219 1379 20 562 1024 1060 1469 311 1835 
